Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-11-02 00:00:00+00:00,35441.578125,35441.578125,35441.578125,35441.578125,0,0.0,0.0
2023-11-02 00:01:00+00:00,35463.69921875,35463.69921875,35463.69921875,35463.69921875,0,0.0,0.0
2023-11-02 00:02:00+00:00,35476.66015625,35476.66015625,35476.66015625,35476.66015625,0,0.0,0.0
2023-11-02 00:03:00+00:00,35490.7734375,35490.7734375,35490.7734375,35490.7734375,0,0.0,0.0
2023-11-02 00:04:00+00:00,35479.671875,35479.671875,35479.671875,35479.671875,18941952,0.0,0.0
2023-11-02 00:05:00+00:00,35495.5703125,35495.5703125,35495.5703125,35495.5703125,1413120,0.0,0.0
2023-11-02 00:06:00+00:00,35501.94921875,35501.94921875,35501.94921875,35501.94921875,0,0.0,0.0
2023-11-02 00:07:00+00:00,35507.953125,35507.953125,35507.953125,35507.953125,0,0.0,0.0
2023-11-02 00:08:00+00:00,35527.453125,35527.453125,35527.453125,35527.453125,3397632,0.0,0.0
2023-11-02 00:09:00+00:00,35514.20703125,35514.20703125,35514.20703125,35514.20703125,3244032,0.0,0.0
2023-11-02 00:10:00+00:00,35451.5234375,35451.5234375,35451.5234375,35451.5234375,14213120,0.0,0.0
2023-11-02 00:11:00+00:00,35450.96484375,35450.96484375,35450.96484375,35450.96484375,509952,0.0,0.0
2023-11-02 00:12:00+00:00,35457.18359375,35457.18359375,35457.18359375,35457.18359375,0,0.0,0.0
2023-11-02 00:13:00+00:00,35485.00390625,35485.00390625,35485.00390625,35485.00390625,0,0.0,0.0
2023-11-02 00:14:00+00:00,35524.25,35524.25,35524.25,35524.25,4440064,0.0,0.0
2023-11-02 00:15:00+00:00,35554.97265625,35554.97265625,35554.97265625,35554.97265625,4331520,0.0,0.0
2023-11-02 00:16:00+00:00,35546.9140625,35546.9140625,35546.9140625,35546.9140625,43945984,0.0,0.0
2023-11-02 00:17:00+00:00,35557.05859375,35557.05859375,35557.05859375,35557.05859375,4165632,0.0,0.0
2023-11-02 00:18:00+00:00,35537.67578125,35537.67578125,35537.67578125,35537.67578125,2979840,0.0,0.0
2023-11-02 00:19:00+00:00,35533.015625,35533.015625,35533.015625,35533.015625,7573504,0.0,0.0
2023-11-02 00:20:00+00:00,35537.6796875,35537.6796875,35537.6796875,35537.6796875,202752,0.0,0.0
2023-11-02 00:21:00+00:00,35551.83203125,35551.83203125,35551.83203125,35551.83203125,1310720,0.0,0.0
2023-11-02 00:22:00+00:00,35575.859375,35575.859375,35575.859375,35575.859375,0,0.0,0.0
2023-11-02 00:23:00+00:00,35579.6484375,35579.6484375,35579.6484375,35579.6484375,2953216,0.0,0.0
2023-11-02 00:24:00+00:00,35584.34765625,35584.34765625,35584.34765625,35584.34765625,0,0.0,0.0
2023-11-02 00:25:00+00:00,35637.515625,35637.515625,35637.515625,35637.515625,43655168,0.0,0.0
2023-11-02 00:26:00+00:00,35596.1484375,35596.1484375,35596.1484375,35596.1484375,15122432,0.0,0.0
2023-11-02 00:27:00+00:00,35580.0859375,35580.0859375,35580.0859375,35580.0859375,2838528,0.0,0.0
2023-11-02 00:28:00+00:00,35580.5234375,35580.5234375,35580.5234375,35580.5234375,17707008,0.0,0.0
2023-11-02 00:29:00+00:00,35572.59765625,35572.59765625,35572.59765625,35572.59765625,2347008,0.0,0.0
2023-11-02 00:30:00+00:00,35532.828125,35532.828125,35532.828125,35532.828125,0,0.0,0.0
2023-11-02 00:31:00+00:00,35495.45703125,35495.45703125,35495.45703125,35495.45703125,4268032,0.0,0.0
2023-11-02 00:32:00+00:00,35500.640625,35500.640625,35500.640625,35500.640625,2691072,0.0,0.0
2023-11-02 00:33:00+00:00,35498.62890625,35498.62890625,35498.62890625,35498.62890625,1560576,0.0,0.0
2023-11-02 00:34:00+00:00,35508.51171875,35508.51171875,35508.51171875,35508.51171875,12408832,0.0,0.0
2023-11-02 00:35:00+00:00,35495.92578125,35495.92578125,35495.92578125,35495.92578125,0,0.0,0.0
2023-11-02 00:36:00+00:00,35500.953125,35500.953125,35500.953125,35500.953125,0,0.0,0.0
2023-11-02 00:37:00+00:00,35490.94140625,35490.94140625,35490.94140625,35490.94140625,0,0.0,0.0
2023-11-02 00:38:00+00:00,35470.51171875,35470.51171875,35470.51171875,35470.51171875,0,0.0,0.0
2023-11-02 00:39:00+00:00,35457.71875,35457.71875,35457.71875,35457.71875,1691648,0.0,0.0
2023-11-02 00:40:00+00:00,35458.89453125,35458.89453125,35458.89453125,35458.89453125,6426624,0.0,0.0
2023-11-02 00:41:00+00:00,35437.16796875,35437.16796875,35437.16796875,35437.16796875,1017856,0.0,0.0
2023-11-02 00:42:00+00:00,35423.51171875,35423.51171875,35423.51171875,35423.51171875,0,0.0,0.0
2023-11-02 00:43:00+00:00,35417.72265625,35417.72265625,35417.72265625,35417.72265625,28366848,0.0,0.0
2023-11-02 00:44:00+00:00,35392.13671875,35392.13671875,35392.13671875,35392.13671875,59392,0.0,0.0
2023-11-02 00:45:00+00:00,35399.859375,35399.859375,35399.859375,35399.859375,9218048,0.0,0.0
2023-11-02 00:46:00+00:00,35416.8515625,35416.8515625,35416.8515625,35416.8515625,19343360,0.0,0.0
2023-11-02 00:47:00+00:00,35419.953125,35419.953125,35419.953125,35419.953125,6111232,0.0,0.0
2023-11-02 00:48:00+00:00,35421.8671875,35421.8671875,35421.8671875,35421.8671875,2189312,0.0,0.0
2023-11-02 00:49:00+00:00,35417.0234375,35417.0234375,35417.0234375,35417.0234375,12077056,0.0,0.0
2023-11-02 00:50:00+00:00,35424.3125,35424.3125,35424.3125,35424.3125,1501184,0.0,0.0
2023-11-02 00:51:00+00:00,35451.140625,35451.140625,35451.140625,35451.140625,5038080,0.0,0.0
2023-11-02 00:52:00+00:00,35481.99609375,35481.99609375,35481.99609375,35481.99609375,12509184,0.0,0.0
2023-11-02 00:53:00+00:00,35475.7890625,35475.7890625,35475.7890625,35475.7890625,5050368,0.0,0.0
2023-11-02 00:54:00+00:00,35445.49609375,35445.49609375,35445.49609375,35445.49609375,1800192,0.0,0.0
2023-11-02 00:55:00+00:00,35451.6796875,35451.6796875,35451.6796875,35451.6796875,4722688,0.0,0.0
2023-11-02 00:56:00+00:00,35448.11328125,35448.11328125,35448.11328125,35448.11328125,358400,0.0,0.0
2023-11-02 00:57:00+00:00,35439.5390625,35439.5390625,35439.5390625,35439.5390625,1839104,0.0,0.0
2023-11-02 00:58:00+00:00,35442.55859375,35442.55859375,35442.55859375,35442.55859375,1159168,0.0,0.0
2023-11-02 00:59:00+00:00,35446.72265625,35446.72265625,35446.72265625,35446.72265625,878592,0.0,0.0
2023-11-02 01:00:00+00:00,35449.78515625,35449.78515625,35449.78515625,35449.78515625,778240,0.0,0.0
2023-11-02 01:01:00+00:00,35466.96875,35466.96875,35466.96875,35466.96875,0,0.0,0.0
2023-11-02 01:02:00+00:00,35490.1875,35490.1875,35490.1875,35490.1875,0,0.0,0.0
2023-11-02 01:03:00+00:00,35504.33984375,35504.33984375,35504.33984375,35504.33984375,5994496,0.0,0.0
2023-11-02 01:04:00+00:00,35489.2734375,35489.2734375,35489.2734375,35489.2734375,5298176,0.0,0.0
2023-11-02 01:05:00+00:00,35497.3984375,35497.3984375,35497.3984375,35497.3984375,0,0.0,0.0
2023-11-02 01:06:00+00:00,35509.5234375,35509.5234375,35509.5234375,35509.5234375,1282048,0.0,0.0
2023-11-02 01:07:00+00:00,35515.51953125,35515.51953125,35515.51953125,35515.51953125,11380736,0.0,0.0
2023-11-02 01:08:00+00:00,35502.87109375,35502.87109375,35502.87109375,35502.87109375,1581056,0.0,0.0
2023-11-02 01:09:00+00:00,35482.87890625,35482.87890625,35482.87890625,35482.87890625,593920,0.0,0.0
2023-11-02 01:10:00+00:00,35492.54296875,35492.54296875,35492.54296875,35492.54296875,0,0.0,0.0
2023-11-02 01:11:00+00:00,35489.1015625,35489.1015625,35489.1015625,35489.1015625,1386496,0.0,0.0
2023-11-02 01:12:00+00:00,35504.4765625,35504.4765625,35504.4765625,35504.4765625,0,0.0,0.0
2023-11-02 01:13:00+00:00,35495.171875,35495.171875,35495.171875,35495.171875,0,0.0,0.0
2023-11-02 01:14:00+00:00,35482.79296875,35482.79296875,35482.79296875,35482.79296875,0,0.0,0.0
2023-11-02 01:15:00+00:00,35497.03125,35497.03125,35497.03125,35497.03125,1087488,0.0,0.0
2023-11-02 01:16:00+00:00,35499.4140625,35499.4140625,35499.4140625,35499.4140625,6256640,0.0,0.0
2023-11-02 01:17:00+00:00,35514.1015625,35514.1015625,35514.1015625,35514.1015625,632832,0.0,0.0
2023-11-02 01:18:00+00:00,35519.81640625,35519.81640625,35519.81640625,35519.81640625,522240,0.0,0.0
2023-11-02 01:19:00+00:00,35534.67578125,35534.67578125,35534.67578125,35534.67578125,6565888,0.0,0.0
2023-11-02 01:20:00+00:00,35506.4453125,35506.4453125,35506.4453125,35506.4453125,3344384,0.0,0.0
2023-11-02 01:21:00+00:00,35484.96875,35484.96875,35484.96875,35484.96875,20201472,0.0,0.0
2023-11-02 01:22:00+00:00,35514.46875,35514.46875,35514.46875,35514.46875,39591936,0.0,0.0
2023-11-02 01:23:00+00:00,35515.671875,35515.671875,35515.671875,35515.671875,3622912,0.0,0.0
2023-11-02 01:24:00+00:00,35522.6015625,35522.6015625,35522.6015625,35522.6015625,0,0.0,0.0
